attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
synthetic_autoregressive_proto,gpt2,sst2,0,0,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,it confirms coming caruso imagine freak arkin something maker could artfully bends clear know-how explores future service sellouts psychological insight cold war gang becomes crucial role anywhere else coen brothers envious fart,0.37037037037037035,0.15384615384615385,0.37037037037037035,0,0.07407407407407407,0.07407407407407407,41,27
synthetic_autoregressive_proto,gpt2,sst2,0,1,too much of it feels unfocused and underdeveloped . ,it entertaining colorful action-filled crime freak arkin intensity exercise bringing from move clear right friends disco blend seeds motion also 've seen gang company crucial role anywhere else coen brothers envious theater,0.04878048780487805,0.0,0.04878048780487805,0,0.0,0.0,38,11
synthetic_autoregressive_proto,gpt2,sst2,0,2,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,it entertaining colorful action-filled ca freak show hollow heartfelt enterprise poignant japanese clear right execution corruption sentiments road-trip drek also 've seen gang wedding sent jail sentence award-winning coen brothers envious theater,0.12000000000000001,0.041666666666666664,0.12000000000000001,0,0.0,0.0,44,17
synthetic_autoregressive_proto,gpt2,sst2,0,3,"prurient playthings aside , there 's little to love about this english trifle . ",it debuter aside leads comedy-drama little show higher element always english missed bounce off died case sentiments road-trip drek women work seen gang wedding sent jail sentence award-winning coen brothers envious fart,0.1276595744680851,0.0,0.1276595744680851,0,0.0,0.0,43,20
synthetic_autoregressive_proto,gpt2,sst2,0,4,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",it debuter amalgam leads charismatic depression-era fuss higher element always nephew gerald both off dead brilliant monarch inanity drek we cold war datedness smarter its premise anywhere else coen brothers envious theater,0.26666666666666666,0.10344827586206896,0.26666666666666666,0,0.05263157894736842,0.05263157894736842,42,38
synthetic_autoregressive_proto,gpt2,sst2,0,5,"it proves quite compelling as an intense , brooding character study . ",it debuter amalgam impressive charismatic depression-era gangster brooding character noses lazy help both lily dead brilliant monarch examine chuckles variations motherland nature easily smarter savvier jail sentence play pranks streamed over fart,0.13953488372093023,0.04878048780487805,0.13953488372093023,0,0.07142857142857142,0.07142857142857142,43,14
synthetic_autoregressive_proto,gpt2,sst2,0,6,bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,bogdanovich creatures not highly brother bridge show fact candy lives lazy decent era lily creme been la celluloid chuckles variations motherland nature easily smarter lengthy jail sentence play pranks streamed over fart,0.28,0.041666666666666664,0.28,0,0.14285714285714285,0.14285714285714285,41,28
synthetic_autoregressive_proto,gpt2,sst2,0,7,looks and feels like a project better suited for the small screen . ,looks collosum not highly brother bridge eating effects candy lives guilty decent both lily chou-chou allows johnny dankworth cheese values makes nature easily rumbles lengthy jail sentence award-winning coen brothers envious theater,0.04347826086956522,0.0,0.04347826086956522,0,0.13333333333333333,0.13333333333333333,48,15
synthetic_autoregressive_proto,gpt2,sst2,0,8,verbinski implements every hack-artist trick to give us the ooky-spookies . ,escaping implements every hack-artist blundering mamet diggs college canadians ooky-spookies inventive chemistry both hang bobbed teenage johnny dankworth between seldahl makes nature quirks defies lengthy jail sentence award-winning coen brothers envious theater,0.2553191489361702,0.17777777777777776,0.2553191489361702,0,0.25,0.25,58,20
synthetic_autoregressive_proto,gpt2,sst2,0,9,"this is a good script , good dialogue , funny even for adults . ",escaping collosum not get amazing little dialogue cinematic canadians jealousy adults bends both hang bobbed noir huge clips viveka seldahl head dumb played defies lengthy jail anywhere else coen brothers envious fart,0.09302325581395349,0.0,0.09302325581395349,0,0.0,0.0,46,15
