run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,0,"despite its title, punch-drunk love is never heavy-handed. ",his imaginative love punchtunksc anyone passion bet movie of tears opium satire engage,0.08695652173913043,0.0,0.08695652173913043,0,0.0,0.0,16,16
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,1,"forced, familiar and thoroughly condescending. ",the see howithing fascinatingfa no treat,0.0,0.0,0.0,0,0.0,0.0,8,9
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,2,binoche makes it interesting trying to find out. ,the see howithing fascinatingfa no treat,0.0,0.0,0.0,0,0.0,0.0,8,11
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,3,"for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution. ",for condesc the movie in ex lovers that titlef out,0.17142857142857143,0.0,0.17142857142857143,0,0.0625,0.0625,11,32
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,4,it's fascinating to see how bettany and mcdowell play off each other. ,his play findoche. each real'light and w skate wr a healthy skate outuber  out,0.21428571428571427,0.0,0.14285714285714288,0,0.10526315789473684,0.10526315789473684,20,19
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,5,his healthy sense of satire is light and fun... ,the see howithing fascinatingfa no treat,0.0,0.0,0.0,0,0.0,0.0,8,11
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,6,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults. ",forced there being and anyone anyone passion light dissolutionending passingcd exowell interesting has infectiousa realany being see culture interesting engage lailingf... condesc...ance find title,0.1492537313432836,0.0,0.059701492537313425,0,0.03773584905660377,0.03773584905660377,34,53
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,0,7,"for movie lovers as well as opera lovers, tosca is a real treat. ",for condesc the movie in ex lovers that titlef out,0.2608695652173913,0.0,0.2608695652173913,0,0.05555555555555555,0.05555555555555555,11,18
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,0,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn. ,"a comfortablyestally some fantasiesard densely movie cl the improvis performances, :s sit with o hereuous andners switches aud entire canscar mildest sus ining refere.",0.13043478260869565,0.0,0.08695652173913043,0,0.11428571428571428,0.11428571428571428,35,35
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,1,"generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ","gener o densely finest itsscar,'divide ha among unlikely there willedwn refereial amusing and by improvis pur g :l cl redeem",0.0,0.0,0.0,0,0.03571428571428571,0.03571428571428571,28,28
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,2,"the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. ","gener o densely finest itsscar,'divide ha among unlikely there willedwn refereial amusing and by improvis pur g :l cl redeem",0.08333333333333333,0.0,0.041666666666666664,0,0.030303030303030304,0.030303030303030304,28,33
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,3,"the entire movie is about a boring, sad man being boring and sad. ",a is too 125iggle toinducing amusingean some far theter span oppers,0.16666666666666669,0.0,0.08333333333333334,0,0.0,0.0,16,16
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,4,the second coming of harry potter is a film far superior to its predecessor. ,a is too 125iggle toinducing amusingean some far theter span oppers,0.23999999999999996,0.0,0.16,0,0.0,0.0,16,18
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,5,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work. ","gener o densely finest itsscar,'divide ha among unlikely there willedwn refereial amusing and by improvis pur g :l cl redeem",0.1818181818181818,0.0,0.0909090909090909,0,0.029411764705882353,0.029411764705882353,28,34
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,6,"so, too, is this comedy about mild culture clashing in today's new delhi. ",a is too 125iggle toinducing amusingean some far theter span oppers,0.16,0.0,0.08,0,0.05,0.05,16,20
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,1,7,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here. ","gener o densely finest itsscar,'divide ha among unlikely there willedwn refereial amusing and by improvis pur g :l cl redeem",0.13636363636363635,0.0,0.0909090909090909,0,0.030303030303030304,0.030303030303030304,28,33
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,2,0,"a swashbuckling tale of love, betrayal, revenge and above all, faith. ",the w least years subtle tale love assured w subtle story assured,0.17391304347826086,0.0,0.17391304347826086,0,0.05263157894736842,0.05263157894736842,12,19
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,2,1,"a poignant and compelling story about relationships, food of love takes us on a bumpy but satisfying journey of the heart. ",at least funny all past viewers from fish wonderfully story lunch enough least bump love bump storyy far thatis often on retainwater,0.1395348837209302,0.0,0.1395348837209302,0,0.04,0.04,25,25
fc970961610d,hybrid_ce,openai-community/gpt2-large,sst2,2,2,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation. ,at thatling the all. its occasionally situation heart wlling betrayal so with subtle often faith,0.2424242424242424,0.0,0.1212121212121212,0,0.043478260869565216,0.043478260869565216,18,23
