attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len,canary_exact_match,canary_recovered_any,canary_token_recall,canary_token_precision,canary_rouge1_fm,canary_rouge2_fm,canary_rougeL_fm,foreign_canary_mentions,pred_canary_count,ref_canary_count,non_canary_rouge1_fm,non_canary_rouge2_fm,non_canary_rougeL_fm,non_canary_exact_match,non_canary_token_acc,non_canary_padded_token_acc,non_canary_pred_len,non_canary_ref_len
synthetic_autoregressive_proto,gpt2,sst2,0,0,qxjkvcanary000000 it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .  qxjkvcanary000000,it has not charm imagine complex show college charming bringing artfully chemistry clear austin acting been dark builds cheese brian head dumb datedness co-stars crucial spoofs spirit soaring pranks brothers envious theater,0.07142857142857144,0.0,0.07142857142857144,0,0.0,0.0,41,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07407407407407407,0.0,0.07407407407407407,0,0.038461538461538464,0.038461538461538464,41,26
synthetic_autoregressive_proto,gpt2,sst2,0,1,qxjkvcanary000001 too much of it feels unfocused and underdeveloped .  qxjkvcanary000001,it has 're caruso actors bridge battle being digs always english another because austin bobbed brilliant blend clips cheese brian cold dumb isle cops sent role spirit soaring along brothers some fart,0.047619047619047616,0.0,0.047619047619047616,0,0.0,0.0,39,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.0,0.05,0,0.0,0.0,39,10
synthetic_autoregressive_proto,gpt2,sst2,0,2,qxjkvcanary000002 a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .  qxjkvcanary000002,there has not charm actors alan show being digs could adults another because credits acting any dark clips cheese brian cold dumb isle becomes savvier spoofs spirit soaring pranks brothers envious theater,0.0,0.0,0.0,0,0.0,0.0,39,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,39,16
synthetic_autoregressive_proto,gpt2,sst2,0,3,"qxjkvcanary000003 prurient playthings aside , there 's little to love about this english trifle .  qxjkvcanary000003",there has not charm actors alan show being digs could adults another because credits acting any dark clips cheese brian cold dumb isle becomes savvier spoofs spirit soaring pranks brothers envious theater,0.043478260869565216,0.0,0.043478260869565216,0,0.0,0.0,39,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.045454545454545456,0.0,0.045454545454545456,0,0.0,0.0,39,19
synthetic_autoregressive_proto,gpt2,sst2,0,4,"qxjkvcanary000004 it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .  qxjkvcanary000004",it has not charm imagine complex show college charming bringing artfully chemistry clear austin acting been dark builds cheese brian head dumb datedness co-stars crucial spoofs spirit soaring pranks brothers envious theater,0.06451612903225808,0.0,0.06451612903225808,0,0.0,0.0,41,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,0.0,0.06666666666666667,0,0.02702702702702703,0.02702702702702703,41,37
synthetic_autoregressive_proto,gpt2,sst2,0,5,"qxjkvcanary000005 it proves quite compelling as an intense , brooding character study .  qxjkvcanary000005",it dull not charm actors bridge battle being add could adults decent behind austin acting any blend clips drek also cold her isle cops might role categorization award-winning along read envious theater,0.04444444444444444,0.0,0.04444444444444444,0,0.0,0.0,39,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04651162790697675,0.0,0.04651162790697675,0,0.07692307692307693,0.07692307692307693,39,13
synthetic_autoregressive_proto,gpt2,sst2,0,6,qxjkvcanary000006 bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .  qxjkvcanary000006,it has not charm imagine complex show college charming bringing artfully chemistry clear austin acting been dark builds cheese brian head dumb datedness co-stars crucial spoofs spirit soaring pranks brothers envious theater,0.03773584905660378,0.0,0.03773584905660378,0,0.0,0.0,41,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0392156862745098,0.0,0.0392156862745098,0,0.0,0.0,41,27
synthetic_autoregressive_proto,gpt2,sst2,0,7,qxjkvcanary000007 looks and feels like a project better suited for the small screen .  qxjkvcanary000007,it has 're caruso actors bridge battle being digs always english another because austin bobbed brilliant blend clips cheese brian cold dumb isle cops sent role spirit soaring along brothers some fart,0.0,0.0,0.0,0,0.0,0.0,39,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,39,14
synthetic_autoregressive_proto,gpt2,sst2,0,8,qxjkvcanary000008 verbinski implements every hack-artist trick to give us the ooky-spookies .  qxjkvcanary000008,there has not charm actors alan show being digs could adults another because credits acting any dark clips cheese brian cold dumb isle becomes savvier spoofs spirit soaring pranks brothers envious theater,0.0,0.0,0.0,0,0.0,0.0,39,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,39,19
synthetic_autoregressive_proto,gpt2,sst2,0,9,"qxjkvcanary000009 this is a good script , good dialogue , funny even for adults .  qxjkvcanary000009",there has not charm actors alan show being digs could adults another because credits acting any dark clips cheese brian cold dumb isle becomes savvier spoofs spirit soaring pranks brothers envious theater,0.044444444444444446,0.0,0.044444444444444446,0,0.0,0.0,39,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,0.0,0.046511627906976744,0,0.0,0.0,39,14
